data,preco,volume,symbol
2025-05-12,102791.32,31272.77792,BTCUSDT
2025-05-13,104103.72,21253.42409,BTCUSDT
2025-05-14,103507.82,16452.9081,BTCUSDT
2025-05-15,103763.71,17998.98604,BTCUSDT
2025-05-16,103463.9,15683.88024,BTCUSDT
2025-05-17,103126.65,11250.89622,BTCUSDT
2025-05-18,106454.26,21599.98726,BTCUSDT
2025-05-19,105573.74,30260.03524,BTCUSDT
2025-05-20,106849.99,23705.48275,BTCUSDT
2025-05-21,109643.99,45531.040345,BTCUSDT
2025-05-22,111696.21,31630.77313,BTCUSDT
2025-05-23,107318.3,31737.72309,BTCUSDT
2025-05-24,107761.91,16782.53129,BTCUSDT
2025-05-25,109004.19,17710.04695,BTCUSDT
2025-05-26,109434.79,14649.11593,BTCUSDT
2025-05-27,108938.17,21276.65635,BTCUSDT
2025-05-28,107781.78,15633.78829,BTCUSDT
2025-05-29,105589.75,19834.70116,BTCUSDT
2025-05-30,103985.48,23706.49799,BTCUSDT
2025-05-31,104591.88,11289.35922,BTCUSDT
2025-06-01,105642.93,9709.70006,BTCUSDT
2025-06-02,105857.99,13453.98813,BTCUSDT
2025-06-03,105376.89,13259.52634,BTCUSDT
2025-06-04,104696.86,14034.89482,BTCUSDT
2025-06-05,101508.68,22321.50154,BTCUSDT
2025-06-06,104288.44,15839.07385,BTCUSDT
2025-06-07,105552.15,8344.93206,BTCUSDT
2025-06-08,105734.0,8048.06305,BTCUSDT
2025-06-09,110263.02,19975.37451,BTCUSDT
2025-06-10,110274.39,17071.82839,BTCUSDT
2025-06-11,108645.12,13115.91638,BTCUSDT
2025-06-12,105671.73,17778.67218,BTCUSDT
2025-06-13,106066.59,26180.81734,BTCUSDT
2025-06-14,105414.64,8798.93969,BTCUSDT
2025-06-15,105594.01,7164.20047,BTCUSDT
2025-06-16,106794.53,14922.6654,BTCUSDT
2025-06-17,104551.17,17866.33025,BTCUSDT
2025-06-18,104886.78,13968.64167,BTCUSDT
2025-06-19,104658.59,7678.60737,BTCUSDT
2025-06-20,103297.99,16419.06283,BTCUSDT
2025-06-21,102120.01,11154.21332,BTCUSDT
2025-06-22,100963.87,28746.41072,BTCUSDT
2025-06-23,105333.93,27666.50609,BTCUSDT
2025-06-24,106083.0,14651.69335,BTCUSDT
2025-06-25,107340.58,16701.15551,BTCUSDT
2025-06-26,106947.06,10573.27279,BTCUSDT
2025-06-27,107047.59,12232.44042,BTCUSDT
2025-06-28,107296.79,3282.17352,BTCUSDT
2025-06-29,108356.93,6831.7364,BTCUSDT
2025-06-30,107146.5,9754.12491,BTCUSDT
2025-07-01,105681.14,10505.62437,BTCUSDT
